balkon,budynek_pietra,cena,cena_za_m2,data_dodania_oferty,data_skanowania,dojazd,dostepny,dzielnica,email,kaucja,liczba_lazienek,liczba_pomieszczen,liczba_wyswietlen,liczba_zdjec,link,lokale_uzytkowe,lokalizacja,miejsce_parkingowe,miejscowosc,nazwa_biura,numer_oferty,ogrod,opis,oplaty,pietro,piwnica,powierzchnia,powierzchnia_dzialki,przeznaczenie,rok_budowy,rynek,stan_prawny_dzialki,stan_wykonczenia,standard_wykonczenia,telefon,typ,typ_transakcji,typ_zabudowy,ulica,umeblowanie,winda,wojewodztwo,wystawa_okien,zdjecie_glowne,zdjecie_glowne_link
-1,7,5500,482,-1,2022-05-15 23:48:54.189555,-1,True,-1,nieruchomosci@cargos.com.pl,-1,-1,5,-1,7,https://cargos.com.pl/pl/oferta/lokal-uzytkowy-elblag-1-maja/1521/,-1,"Elbląg, 1 Maja",-1,-1,Cargos Nieruchomości ,BX04141,-1,"ATRAKCYJNY LOKAL HANDLOWO-USŁUGOWY W CENTRUM MIASTA! Najlepsza lokalizacja! Lokal handlowo-usługowy położony w ścisłym centrum miasta, przy ul. 1 Maja 58H, na parterze 7 kondygnacyjnego budynku, z nowszych zasobów, usytuowanego u zbiegu ulic 1 Maja, Nitschmanna i 3 Maja. W bezpośrednim sąsiedztwie znajduje się węzeł komunikacyjny (przystanki autobusowe i tramwajowe), a także centralny kompleks banków, sklepów, urzędów. Lokal o powierzchni użytkowej 114,50 m2, składa sie z głównej sali operacyjnej, trzech pomieszczeń biurowych, pomieszczenia sanitarnego, socjalnego, serwerowni. Lokal o wysokim standardzie wykończenia. Zastosowano ścianki szklane działowe w profilach z aluminium anodowanego. Posadzki pokryte nowym gresem. Sufit podwieszany. Wykończenie lokalu wykonano na podstawie indywidualnego projektu aranżacji wnętrz. Wyposażenie w urządzenia instalacyjne o wysokim standardzie. Lokalizacja o dużym natężeniu ruchu. Wejście do lokalu z poziomu chodnika, duże witryny wystawowe.Opłaty do zarządcy budynku ok. 800 zł/mies. (w tym m. in. koszt centralne ogrzewania, opłata za szyld reklamowy). Możliwość przystosowania lokalu przez właściciela pod kątem potrzeb Najemcy, na podstawie odrębnych uzgodnień. Czynsz najmu 5500 zł netto + 23% VAT. Zapraszamy na prezentację po wcześniejszym umówieniu się telefonicznie. Przy najmie należy uwzględnić jednorazowe wynagrodzenie biura nieruchomości.",-1,0,-1,115,-1,-1,-1,-1,Własność,Bardzo dobry,-1,510181782,Lokal użytkowy,-1,-1,-1,-1,False,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\BX04141\BX041411.jpg,https://www.nieruchomosci24.elblag.pl/zdjecia/BX041411.JPG
True,3,254000,51632,-1,2022-05-15 23:48:54.712416,-1,True,-1,nieruchomosci@cargos.com.pl,-1,1,2,-1,14,https://cargos.com.pl/pl/oferta/mieszkanie-elblag-grunwaldzka/1520/,-1,"Elbląg, Grunwaldzka",-1,-1,Cargos Nieruchomości ,BX04257,-1,"Polecamy do sprzedaży mieszkanie 2-pokojowe o powierzchni 49,20 m2, z balkonem, usytuowane na trzecim piętrze budynku przy ulicy Grunwaldzkiej. Mieszkanie o bardzo funkcjonalnym rozkładzie, pomieszczenia nie są przejściowe. W lokalu została wymieniona instalacja grzewcza, grzejniki konwektorowe, nowy piec gazowy dwufunkcyjny. Pokój dzienny z balkonem, duża widna kuchnia z miejscem na stół jadalniany. W sypialni szafa z drzwiami suwanymi w cenie. Mieszkanie bardzo zadbane, podłogi pokryte panelami oraz terakotą w kuchni i łazience. Stolarka okienna PCV., łazienka - zadbana glazura i terakota. Do mieszkania przynależy duża piwnica o pow. 7,4 m2. Mieszkanie tanie w eksploatacji, opłaty dla zarządcy jedynie 231 zł. Budynek ocieplony, z nową elewacją. Dobra lokalizacja, przystanek tramwajowy, nieopodal Lidl, szybki wyjazd na obwodnicę miasta. Zapraszamy do obejrzenia po wcześniejszym kontakcie telefonicznym >> w rozliczeniu możliwe małe mieszkanie 2-pokojowe o pow. ok. 36 m2. ***Przy zakupie przedmiotowego lokalu należy uwzględnić koszty notarialne oraz wynagrodzenie biura nieruchomości w wysokości 1,23%.",-1,3,True,49,-1,-1,-1,-1,Własność,Dobry,-1,510181782,Mieszkanie,sprzedaz,-1,-1,-1,False,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\BX04257\BX042571.jpg,https://www.nieruchomosci24.elblag.pl/zdjecia/BX042571.JPG
-1,-1,260000,362,-1,2022-05-15 23:48:55.146628,-1,True,-1,nieruchomosci@cargos.com.pl,-1,-1,-1,-1,8,https://cargos.com.pl/pl/oferta/dzialka-budowlana-elblag-krolewiecka/1502/,-1,"Elbląg, Królewiecka",-1,-1,Cargos Nieruchomości ,CA01070,-1,"Działka dla konesera Elbląg Dąbrowa Oferujmy na sprzedaż działkę o powierzchni 7311 m2 położoną Elbląg Dąbrowa przy ulicy Królewieckiej. Niezwylłość położenia działki to bezpośrednie sąsiedztwo z Lasem Bażantarnia. To zejście wąwązem do rzeczki w lesie. Wspaniałe miejsce do zamieszkania i możliwość obcowania i podziwiania przyrody, a wszystko to 6 km od centrum Elbląga. Plan zagospodarowania przestrzennego MNU przewiduje - Tereny zabudowy mieszkalno - usługowej Woda na działce, prąd w drodze, przewidziane szambo. Zapraszamy do zapoznania się z ofertą. Przy zakupie należy uwzględnić koszty notarialne oraz wynagrodzenie biura nieruchomości w wysokości 1,5%. Polecamy Ofertę!!!!",-1,-1,-1,-1,7311,-1,-1,-1,Własność,-1,-1,510181782,Działka budowlana,sprzedaz,-1,-1,-1,False,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\CA01070\CA010701.jpg,https://www.nieruchomosci24.elblag.pl/zdjecia/CA010701.JPG
-1,2,235000,44592,-1,2022-05-15 23:48:55.592536,-1,True,-1,nieruchomosci@cargos.com.pl,-1,1,3,-1,13,https://cargos.com.pl/pl/oferta/mieszkanie-elblag-browarna/1422/,-1,"Elbląg, Browarna",-1,-1,Cargos Nieruchomości ,BX04244,-1,"Polecamy do sprzedaży mieszkanie 3-pokojowe o powierzchni 52,70 m2, usytuowane na drugim piętrze w odnowionej kamienicy przy ulicy Browarnej, bezpośrednio przy Parku Modrzewie. Mieszkanie z niewielkimi skosami, o funkcjonalnym rozkładzie, pomieszczenia nie są przejściowe. W lokalu została wymieniona instalacja grzewcza, grzejniki konwektorowe. Centralne ogrzewanie i ciepła woda z sieci miejskiej. Pokój dzienny został połączony z częścią kuchenną, dzięki czemu powstała otwarta przestrzeń dzienna. Stolarka okienna PCV. Duża widna i przestronna łazienka z oknem, z kabiną prysznicową, pokryta glazurą i terakotą. Podłogi - wykładzina linoleum, w jednym z pokoi wykładzina dywanowa. Do mieszkania przynależy duża piwnica o pow. 17,25 m2, a także do dyspozycji jest strych usytuowany bezpośrenio przy mieszkaniu. Właściciel mieszkania może korzystać z ogródka przydomowego. Opłaty dla zarządcy 491 zł bez zaliczek na wodę. Budynek ocieplony, z nową elewacją, usytuowany bezpośrednio przy Parku Modrzewie. Dobra lokalizacja, nieopodal miasteczko handlowe, szybki wyjazd na obwodnicę miasta. Zapraszamy do obejrzenia po wcześniejszym kontakcie telefonicznym. ***Przy zakupie przedmiotowego lokalu należy uwzględnić koszty notarialne oraz wynagrodzenie biura nieruchomości w wysokości 1,5%.",-1,2,True,53,-1,-1,-1,-1,Własność,Do remontu,-1,510181782,Mieszkanie,sprzedaz,-1,-1,-1,False,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\BX04244\BX042441.jpg,https://www.nieruchomosci24.elblag.pl/zdjecia/BX042441.JPG
True,1,990000,55002,-1,2022-05-15 23:48:56.029531,-1,True,-1,nieruchomosci@cargos.com.pl,-1,1,5,-1,12,https://cargos.com.pl/pl/oferta/dom-jeglownik-nowa/1519/,-1,"Jegłownik, Nowa",-1,-1,Cargos Nieruchomości ,CA01074,-1,"Prezentujemy ofertę nowoczesnego nowego domu znajdującego się w Jegłowniku na osiedlu domków jednorodzinnych Dom wolnostojący, parterowy z użytkowym poddaszem z 2021r o pow. całkowitej ok. 180m2. Projekt domu "" Dom w szafirkach"" Działka o pow. ok 1474 m2 daje możliwości zaprojektowania otoczenia wg. wymarzonych koncepcji. Na działce stoi drewniany domek jako magazynek lub miejsce zabaw dla dzieci. Sąsiedztwo zieleni i pól. Dom wygodny o przemyślanym rozkładzie pomieszczeń, niekonwencjonalnych rozwiązaniach, estetycznym i modnym wykończeniem. Parter to: otwarta kuchnia łączy się z jadalnią i salonem o łącznej pow. ok. 40m2, pokój o pow. ok. 18,5m2, spiżarnia, hol, łazienka z prysznicem, wiatrołap. Z salonu wyjście na obszerny taras. Poddasze to: 3 sypialnie o pow. ok. 20m2 każda w tym dwie z balkonami, pokój kąpielowy z wanną i prysznicem. Główna sypialnia z garderobą. Ogrzewanie to nowoczesny w pełni automatyczny piec na pelet, ponadto w salonie, łazienkach i holu ogrzewanie podłogowe. Przygotowane miejsce i komin z odpowiednim wkładem na kominek Zabudowa kuchenna ze sprzętami AGD w cenie. Dom wymaga pewnych prac wykończeniowych: położenie paneli podłogowych w pokojach na piętrze i osadzenie drzwi na piętrze. Dziaka w całości ogrodzona. Dom łączy w sobie elegancję, praktyczność i nowoczesność. Dla zdecydowanego klienta cena do negocjacji. Przy zakupie nieruchomości kupujący ponosi koszty notarialne oraz wynagrodzenie biura nieruchomości w wysokości 1% od ceny transakcyjnej. Polecamy ofertę .",-1,0,-1,180,1474,-1,-1,-1,Własność,-1,-1,510181782,Dom,-1,-1,-1,-1,False,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\CA01074\CA010741.jpg,https://www.nieruchomosci24.elblag.pl/zdjecia/CA010741.JPG
-1,1,800,212,-1,2022-05-15 23:48:56.524268,-1,True,-1,nieruchomosci@cargos.com.pl,-1,-1,2,-1,14,https://cargos.com.pl/pl/oferta/lokal-uzytkowy-elblag-al-grunwaldzka/1518/,-1,"Elbląg, al. Grunwaldzka",True,-1,Cargos Nieruchomości ,BX04256,-1,"Lokal biurowo-usługowy o powierzchni 39 m2, usytuowany na I piętrze budynku biurowo-usługowego. Lokal składa się z dwóch pomieszczeń biurowych o powierzchni 20 m2 i 15 m2 oraz odrębnego wc z umywalką, a także z małego zaplecza kuchennego. Możliwość wynajęcia dwóch pomieszczeń o łacznej pow. 35 m2 lub jednego dużego pomieszczenia biurowego o pow. 39 m2. Bardzo dobry stan techniczny, lokal wykończony pod kątem biurowym, dobrze oświetlony dużymi oknami, ciepły. Idealny na biuro, cichą usługę. Czynsz najmu 800 zł/mies. w kwocie tej zawierają się wszystkie opłaty za media. Bardzo dobry dojazd, wokół ogólnodostępne niepłatne miejsca parkingowe, nieruchomość położona na terenie dużego kompleksu obiektów handlowo-usługowych i biurowych. Zapraszamy do obejrzenia po wcześniejszym kontakcie telefonicznym ***Przy najmie lokalu należy uwzględnić jednorazowe wynagrodzenie biura nieruchomości.",-1,1,-1,39,-1,-1,-1,-1,Własność,Dobry,-1,510181782,Lokal użytkowy,wynajem,-1,-1,-1,False,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\BX04256\BX042561.jpg,https://www.nieruchomosci24.elblag.pl/zdjecia/BX042561.JPG
-1,2,490000,18152,-1,2022-05-15 23:48:56.987961,-1,True,-1,nieruchomosci@cargos.com.pl,-1,1,6,-1,35,https://cargos.com.pl/pl/oferta/mieszkanie-elblag-malborska/1421/,-1,"Elbląg, Malborska",True,-1,Cargos Nieruchomości ,ST02037,-1,"Proponujemy Państwu do sprzedaży dom wolnostojący położony na osiedlu domków jednorodzinnych przy ul.Malborskiej. Dom znajduje się na działce będącej we własności o pow. 413 m2, właściciele dodatkowo dzierżawią od miasta działkę o łącznej pow. około 200 m2 za którą płacą około 170 zł. Dom został wybudowany na początku lat 90-tych. Ogrzewanie gazowe lub etażowe na węgiel. Garaż w budynku, dom podpiwniczony , zbudowany na zasadzie półpięter. Parter : garaż , 3 pomieszczenia gospodarcze, I piętro : duży salon, gabinet, kuchnia, łazienka, II piętro : 3 pokoje, kuchnia, łazienka, kolejny poziom 2 przechodnie pokoje, łazienka. Nieruchomość wymaga remontu.Dach nowy, kryty papą ( wymieniony 3 lata temu ). Dom nadaje sie dla rodziny dwupokoleniowej ( wspólne wejście, osobna klatka schodowa ). Przy zakupie nieruchomości należy uwzględnić koszty notarialne oraz prowizję dla biura nieruchomości.",-1,0,True,270,613,-1,-1,-1,Własność,Do remontu,-1,510181782,Mieszkanie,sprzedaz,-1,-1,-1,False,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\ST02037\ST020371.jpg,https://www.nieruchomosci24.elblag.pl/zdjecia/ST020371.JPG
-1,2,490000,18152,-1,2022-05-15 23:48:57.475634,-1,True,-1,nieruchomosci@cargos.com.pl,-1,1,6,-1,48,https://cargos.com.pl/pl/oferta/dom-wolnostojacy-elblag-malborska/1419/,-1,"Elbląg, Malborska",True,-1,Cargos Nieruchomości ,ST02035,-1,"Proponujemy Państwu do sprzedaży dom wolnostojący położony na osiedlu domków jednorodzinnych przy ul.Malborskiej. Dom znajduje się na działce będącej we własności o pow. 413 m2, właściciele dodatkowo dzierżawią od miasta 2 działki sąsiadujace o łącznej pow. 206 m2 ( umowa na czas nieoznaczony , koszt 61,80 zł/rok ) oraz na podstawie decyzji Prezydenta Miasta Elbląga korzystają z pasa drogowego o pow. 28,45 m2 ( decyzja do 31.12.2022 r , koszt 91,04 zł/rok ).Cała posesja w całosci ogrodzona. Dom został wybudowany na początku lat 90-tych. Ogrzewanie gazowe lub etażowe na węgiel. Garaż w budynku, dom podpiwniczony, zbudowany na zasadzie półpięter. Parter : garaż, 3 pomieszczenia gospodarcze, półpiętro : łazienka, I piętro : duży salon, gabinet, kuchnia, półpiętro: łazienka, II piętro : 3 pokoje, kuchnia, kolejny poziom: 2 przechodnie pokoje, WC, kuchnia. Nieruchomość wymaga remontu.Dach nowy, kryty papą ( wymieniony 3 lata temu ). Dom nadaje sie dla rodziny dwupokoleniowej ( wspólne wejście, osobna klatka schodowa ). Przy zakupie nieruchomości należy uwzględnić koszty notarialne oraz prowizję dla biura nieruchomości.",-1,0,True,270,647,-1,-1,-1,Własność,Do remontu,-1,510181782,Dom wolnostojący,sprzedaz,-1,-1,-1,False,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\ST02035\ST020351.jpg,https://www.nieruchomosci24.elblag.pl/zdjecia/ST020351.JPG
-1,3,590000,64062,-1,2022-05-15 23:48:57.899339,-1,True,-1,nieruchomosci@cargos.com.pl,-1,1,3,-1,15,https://cargos.com.pl/pl/oferta/mieszkanie-elblag-browarna/1509/,-1,"Elbląg, Browarna",-1,-1,Cargos Nieruchomości ,BX04254,-1,"Prezentujemy wyjątkowy apartament o powierzchni 92,10 m2, usytuowany w klimatycznej kamienicy przy ul. Browarnej. Przedstawiana oferta to komfortowe trzypokojowe mieszkanie o powierzchni użytkowej 92,10 m2. Mieszkanie składa się z salonu dziennego o powierzchni ok. 25 m2, odrębnej kuchni o pow. ok. 13 m2, dużej łazienki, dwóch odrębnych sypialni oraz przedpokoju z miejscem na garderobę. Lokal usytuowany jest na wygodnym II piętrze budynku. Całe mieszkanie przeszło generalny remont, zostało wykończone materiałami najwyższej klasy, wykończone w stylu nowoczesnym. Podłogi w pokojach pokryte zostały panelami bardzo dobrej jakości, nowa stolarka drzwiowa w kolorze białym, gustownie zaaranżowana duża łazienka z oknem, z kabiną prysznicową, armatura sanitarna wysokiej jakości, glazura i terakota o ponadczasowej kolorystyce. Obszerna odrębna kuchnia o powierzchni ok. 13 m2 stwarza duże możliwości aranżacyjne. Centralnym miejscem mieszkania jest obszerny salon o pow. ok. 25 m2, pięknie doświetlony dużymi oknami. Z przedpokoju prowadzą wejścia do wszystkich pomieszczeń. Rozkład mieszkania jest niezwykle praktyczny i funkcjonalny, pokoje są ustawne, pięknie doświetlone dużymi oknami. W przedpokoju wygospodarowano miejsce na szafę garderobianą. W mieszkaniu zostały wymienione wszystkie instalacje, tynki, podłogi. Jest ono w pełni olicznikowane, bardzo ciepłe oraz ekonomiczne w kosztach utrzymania, opłaty dla zarządcy to jedynie 327 zł. W mieszkaniu funkcjonuje centralne ogrzewanie gazowe dwufunkcyjne. Do mieszkania przynależy wyjątkowo duża piwnica o powierzchni 9,80 m2. Korzystna lokalizacja, w pobliżu znajduje się pełna infrastruktura miejska, Centrum Handlowe ,,Zielone Tarasy oraz wygodny wyjazd na drogę ekspresową S7. Nieopodal malownicza elbląska starówka. Mieszkanie posiada przejrzysty stan prawny. Komfortowa obszerna przestrzeń, lekkość wykończenia, wyjątkowy design wnętrza - to mocne atuty tego apartamentu. ***Przy zakupie przedmiotowego lokalu należy uwzględnić koszty notarialne oraz wynagrodzenie biura nieruchomości w wysokości 1,23%.",-1,2,True,92,-1,-1,-1,-1,Własność,Wysoki standard,-1,510181782,Mieszkanie,-1,-1,-1,-1,False,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\BX04254\BX042541.jpg,https://www.nieruchomosci24.elblag.pl/zdjecia/BX042541.JPG
-1,4,600,602,-1,2022-05-15 23:48:58.280117,-1,True,-1,nieruchomosci@cargos.com.pl,-1,-1,1,-1,7,https://cargos.com.pl/pl/oferta/lokal-uzytkowy-elblag-hetmanska/1426/,-1,"Elbląg, Hetmańska",-1,-1,Cargos Nieruchomości ,BX04245,-1,"Lokal biurowo-usługowy o powierzchni 10 m2, usytuowany na parterze, w ścisłym centrum miasta, na pasażu handlowym. Wejście do lokalu z poziomu chodnika. Lokal składa się z pomieszczenia głównego oraz z wc z umywalką (z ciepłą i zimną wodą). Bardzo dobry stan techniczny, podłoga - gress, ściany cekolowane. Lokal nie posiada ogrzewania. Idealny na małe biuro. Czynsz najmu 600 zł/mies. + opłata do Spółdzielni ok. 55 zł + woda i prąd. Kaucja 700 zł. Zapraszamy do obejrzenia, klucze w biurze. ***Przy najmie lokalu należy uwzględnić jednorazowe wynagrodzenie biura nieruchomości.",-1,0,-1,10,-1,-1,-1,-1,Własność,Bardzo dobry,-1,510181782,Lokal użytkowy,-1,-1,-1,-1,False,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\BX04245\BX042451.jpg,https://www.nieruchomosci24.elblag.pl/zdjecia/BX042451.JPG
