balkon,budynek_pietra,cena,cena_za_m2,data_dodania_oferty,data_skanowania,dojazd,dostepny,dzielnica,email,kaucja,liczba_lazienek,liczba_pomieszczen,liczba_wyswietlen,liczba_zdjec,link,lokale_uzytkowe,lokalizacja,miejsce_parkingowe,miejscowosc,nazwa_biura,numer_oferty,ogrod,opis,oplaty,pietro,piwnica,powierzchnia,powierzchnia_dzialki,przeznaczenie,rok_budowy,rynek,stan_prawny_dzialki,stan_wykonczenia,standard_wykonczenia,telefon,typ,typ_transakcji,typ_zabudowy,ulica,umeblowanie,winda,wojewodztwo,wystawa_okien,zdjecie_glowne,zdjecie_glowne_link
-1,-1,599000,5086,13/05/2022 12:30:04,,-1,-1,-1,zapytanie@pepperhouse.pl,-1,2,4,17,14,-1,-1,"Gościcino, None, Polna",-1,Gościcino,PepperHouse,PH512356,-1,"Oferta wyłącznie w Pepper House !  Dom w zabudowie bliźniaczej w miejscowości Gościcino, usytuowany jest w zacisznej, kameralnej części Gościcina. Zlokalizowany w malowniczym otoczeniu lasu i terenów zielonych. W okolicy niska zabudowa jedno/dwurodzinna. Dom składa się z parteru, piętra i dodatkowo poddasza do własnej aranżacji. PARTER:– Przestronny salon z aneksem kuchennym. Salon wyróżnia się dużymi oknami, z których roztacza się niesamowity widok na ogród i las. Z salonu mamy bezpośrednie wyjście na taras i do ogrodu– klatka schodowa z drewnianymi schodami stwarzającymi możliwość dodatkowej zabudowy– WC, w którym znajduje się piec gazowy oraz możliwość wstawienia pralki– korytarz– garaż jednostanowiskowy z bezpośrednim wejściem do korytarza PIĘTRO:– Duża przestronna sypialna, która daje możliwość przedzielenia na dwa mniejsze pomieszczenia.– Dwie mniejsze sypialnie usytuowane od strony ogrodu z widokiem na las– Łazienka  Zaletą wszystkich pomieszczeń są przestronne okna od podłogi do sufitu dające duże nasłonecznienie. Standard domu:– okna trzyszybowe– drzwi zewnętrzne antywłamaniowe– brama garażowa otwierana automatycznie na pilota– drewniane schody– ogrzewanie podłogowe na parterze oraz piętrze– piec gazowy dwufunkcyjny– podjazd, wejście do budynku oraz taras wyłożone kostką– teren ogrodzony Budynek gotowy do odbioru czerwiec/lipiec bieżącego roku. Lokalizacja:Gościcino – przepiękna wieś kaszubska w Polsce położona w województwie pomorskim, w powiecie wejherowskim, w gminie Wejherowo. Dom w otoczeniu lasu w odległości 1,2 km pełna infrastruktura handlowo-usługowa: Polo Market, Apteka, Piekarnia, Paczkomat. Zapraszam do kontaktu po szczegółowe informacji oraz na prezentację Konrad Kaszyński   ",-1,-1,-1,117.77,-1,-1,2022,-1,-1,-1,-1,+48585000156,-1,Sprzedaż,-1,Polna,-1,-1,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\PH512356\42775377.jpg,https://www.pepperhouse.pl/wp-content/uploads/2022/05/42775377.jpg
-1,-1,779000,10428,13/05/2022 11:05:17,,-1,-1,Morena,zapytanie@pepperhouse.pl,-1,-1,3,20,16,-1,-1,"Gdańsk, Morena, Myśliwska",-1,Gdańsk,PepperHouse,PH432518,-1,"!! TYLKO U NAS !!!! DOSTĘPNE TYLKO W PEPPERHOUSE !! ATUTY:– funkcjonalny rozkład pomieszczeń!– słoneczna ekspozycja!– dwa balkony!– piękny widok!– winda w budynku!– możliwość wyodrębnienia czwartego pokoju!– zamknięte osiedle! CHARAKTERYSTKA:Na sprzedaż komfortowo urządzone mieszkanie o pow. 74,7m2, położone na drugim piętrze w budynku z 2010r. W skład nieruchomości wchodzi: :– salon z jasną, wydzieloną kuchnią od strony południowo – wschodniej!– dwie sypialnie,– przedpokój z pojemnymi szafami w zabudowie,– oraz łazienka. Do lokalu przynależy naziemne miejsce parkingowe za szlabanem (dodatkowo płatne 15 tys. zł) oraz komórka lokatorska. LOKALIZACJA:Bardzo dobra komunikacja gwarantuje szybkie dotarcie do centrum miasta oraz obwodnicy Trójmiasta. Ok. 400m od budynku znajduje się przystanek autobusowy. W okolicy pełna infrastruktura usługowo handlowa. Dookoła przepiękne tereny zielone wspaniale nadające się do rekreacji i aktywności fizycznych czy też relaksu i wypoczynku na świeżym powietrzu w gronie najbliższych. Opłaty kształtują się na poziomie: 600zł Zapraszam na prezentację już dziś!Nr oferty:  PH432518Barbara Krężelewska  ",-1,-1,-1,74.7,-1,-1,2010,-1,-1,-1,-1,+48585000156,-1,Sprzedaż,-1,Myśliwska,-1,-1,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\PH432518\42770115.jpg,https://www.pepperhouse.pl/wp-content/uploads/2022/05/42770115.jpg
-1,-1,539000,11846,13/05/2022 08:17:27,,-1,-1,Morena,zapytanie@pepperhouse.pl,-1,-1,-1,29,13,-1,-1,"Gdańsk, Morena, Myśliwskie Wzgórze",-1,Gdańsk,PepperHouse,PH258798,-1,"!! TYLKO U NAS !!!! DOSTĘPNA TYLKO W PEPPERHOUSE !! ATUTY:– słoneczna ekspozycja (południowo-zachodnia)!– duża komórka lokatorska (10,9m2)!– winda w budynku!– w pobliżu tereny zielone zachęcające do aktywnego spędzania czasu!– 300m do przystanku autobusowego!– 5 minut autem do Obwodnicy Trójmiasta! CHARAKTERYSTYKA:Na sprzedaż komfortowo urządzone mieszkanie o pow. .45,5m2, położone na trzecim piętrze w budynku z 2015r. Mieszkanie nie wymaga nakładów finansowych.  W skład nieruchomości wchodzi:– salon z w pełni wyposażonym aneksem kuchennym,– sypialnia,– przedpokój z pojemną szafą w zabudowie,– klimatyczna łazienka. Do lokalu przynależy indywidualne miejsce w hali garażowej (dodatkowo płatne 40tys. zł) oraz komórka lokatorska o pow. 10,9m2 (dodatkowo płatna 10tys. zł) Na osiedlu naziemne miejsca parkingowe tylko dla Mieszkańców (dwie karty parkingowe). LOKALIZACJA:Nieruchomość zlokalizowana jest w dzielnicy Morena przy ulicy Myśliwskie Wzgórze. W okolicy znajduje się w pełni rozwinięta infrastruktura handlowo-usługowa w postaci sklepów (Carrefour, Biedronka, Lidl) oraz restauracji, apteki czy banków, co gwarantuje mieszkańcom wygodę oraz oszczędność czasu. Dużym atutem osiedla są liczne obiekty dydaktyczne m.in. szkoła, przedszkole, żłobek. Wokół budynku znajdują się również atrakcje dla dzieci i młodzieży m.in. liczne place zabaw, boiska czy basen. Lokalizacja idealna dla rodzin z dziećmi jak również ludzi aktywnych.  Opłaty kształtują się na poziomie 550 zł miesięcznie. Zapraszam na prezentację już dziś!Numer oferty: PH465385Barbara Krężelewska  ",-1,-1,-1,45.5,-1,-1,2015,-1,-1,-1,-1,+48585000156,-1,Sprzedaż,-1,Myśliwskie Wzgórze,-1,-1,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\PH258798\42761229.jpg,https://www.pepperhouse.pl/wp-content/uploads/2022/05/42761229.jpg
-1,-1,919000,13988,12/05/2022 14:01:09,,-1,-1,Stare Miasto,zapytanie@pepperhouse.pl,-1,-1,3,27,16,-1,-1,"Gdańsk, Stare Miasto, Podbielańska",-1,Gdańsk,PepperHouse,PH611760,-1,"Na sprzedaż wyjątkowe mieszkanie w samym sercu Starego Miasta – 3 min od Dworca Głównego idealne pod inwestycję!  Atuty:– znakomita lokalizacja, ścisłe Stare Miasto,– piękny widok na Stare Miasto,– gotowe do zamieszkania,– doskonała propozycja inwestycyjna, jak i dla rodziny, – bliskość komunikacji miejskiej, Charakterystyka:Mieszkanie mieści się na 3 piętrze w 3-piętrowej kamienicy wzniesionym w 1950 roku. Wejście do klatki schodowej zabezpieczone domofonem. W obrębie bloku znajdziemy ogólnodostępne miejsca postojowe.  Na jego powierzchnie 65,70m2 składa się salon z pięknego i ustawnego salonu z widokiem na stare miasto, dwóch sypialni, kuchni, łazienki i przedpokoju. Wszystko w zabudowie wykonanej na wymiar. Mieszkanie zostało urządzone stylowo z dbałością o detale, a wyposażenie jest z wysokiej jakości materiałów.  Lokalizacja:Nieruchomość znajduje się w Centrum Gdańska. Mieszkanie położone jest na Starym Mieście, w odległości niespełna 300 metrów od ul. Długiej oraz Kościoła Mariackiego. Do Dworca Głównego zaledwie 3 minuty spacerem!W sąsiedztwie znajduje się wiele zbytków, restauracji oraz kawiarni. W pełni rozwinięta infrastruktura handlowo-usługowa w tym markety, sklepy, usługi, przychodnie, apteki, puby, Wszystko w zasięgu ręki, maksymalnie kilka minut od mieszkania. Podobnie jest z komunikacją nieruchomość jest doskonale skomunikowana w pobliżu znajdują się dworce SKM/PKP/PKS, jak również tramwaje oraz autobusy. Zapraszam na prezentację!Numer oferty: PH611760  ",-1,-1,-1,65.7,-1,-1,1950,-1,-1,-1,-1,+48585000156,-1,Sprzedaż,-1,Podbielańska,-1,-1,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\PH611760\42743223.jpg,https://www.pepperhouse.pl/wp-content/uploads/2022/05/42743223.jpg
-1,-1,1490000,5506,-1,,-1,-1,-1,zapytanie@pepperhouse.pl,-1,-1,7,15,25,-1,-1,"Luzino, None, None",-1,Luzino,PepperHouse,PH866076,-1,"Szlachetny dom wolnostojący w Luzinie z widokiem na las z pięknym ogrodem i dużą działką. ATUTY NIERUCHOMOŚCI:-Nowoczesny dom,-Wyposażenie klasyczne,-5 minut do lasu,-Piękny widok z okien,-Działka: 2863 m2,-Powierzchnia użytkowa domu: 270,6m2,-Balkon, taras,-Garaż na 2 samochody plus miejsce na posesji,-Miejsce na saunę,-Wysoki standard wykończenia, CHARAKTERYSTYKA:Parter (139.9m2)Na tym poziomie znajdziemy strefę dzienna składającą się z salonu połączonego z jadalnia i pokojem dziennym o łącznej powierzchni 58.7 m2 z wyjściem na taras i ogród pełen kwiatów, drzew i krzewów. Na podłodze leży zadbany parkiet drewniany. Na parterze znajdziemy również sypialnie z zabudowana szafa. Obok jest umeblowana łazienka wyposażona a wannę i kabinę prysznicowa. W kuchni w doskonałym stanie sprzęt AGD ( kuchenka elektryczna z piekarnikiem, zmywarka, wyciąg , wyspa). Z kuchni (ze spiżarnią) jest przejście do pralni, pomieszczenia gospodarczego i garażu. Z dwustanowiskowego garażu o pow. 43,5m2 jest również zejście do piwnicy, gdzie znajdują się : spiżarnia, kotłownia i dwa pomieszczenia, które można wykorzystać na siłownie, pokój rekreacyjny itp. Dom ogrzewany jest piecem gazowym dwufunkcyjnym, a do podgrzewania cieplej wody użytkowej służą baterie słoneczne. Duże okna czynią pomieszczenia jasnymi nawet w pochmurne dni, a otaczający dom ogród, jest widoczny z każdego z nich. Parter (139,9 m2):Wjazd na posesje przez bramę automatyczna. Garaż dwustanowiskowy bezpośrednio połączony z wejściem do części mieszkalnej. Dom wyjątkowy i dopieszczony pod każdym względem. Salon z kominkiem, pokojem dziennym i jadalna tworzą spójną część dzienna z wyjściem na taras i ogród. Dom dla rodziny lub pod inwestycje. Piętro (106,9 m2):Na piętro prowadza schody drewniane. Na tym poziomie znajdują się dwie sypialnie. Większa, z zabudowana szafa, wyjściem na balkon i wejściem do łazienki ( umeblowanej z wanna i prysznicem). Dalej na pietrze są pokój dzienny, WC z bidetem i garderoba z możliwością aranżacji kuchni/sauny. Z okien głównej sypialni można podziwiać panoramę pięknej okolicy.  LOKALIZACJA:Nieruchomość mieści się w spokojnej, urokliwej miejscowości Luzino niedaleko SKM i nowej Trasy Kaszubskiej dzięki której do Trójmiasta będzie można dojechać w 30 minut. Okolica idealna do zamieszkania dla rodziny- cisza, spokój, liczne tereny rekreacyjne sprzyjające spacerom oraz aktywności. W sąsiedztwie niska zabudowa jednorodzinna. Luzino jest doskonale skomunikowane z Trójmiastem, rozbudowana infrastruktura ułatwia dostęp do aglomeracji w przeciągu kilkunastu minut autem, do Centrum. W pobliżu domu mieszczą się sklepy Netto (200m). Bliskie sąsiedztwo nieruchomości oferuje bogaty wachlarz usług, sklepów, placówek edukacyjnych.  NIERUCHOMOŚĆ:Nowa technologia budynku.Alarm, połączony z firma ochroniarska, zapewnia bezpieczeństwo. Kominek z grawitacyjnym rozprowadzeniem ciepłego powietrza, okna plastikowe, ogrzewanie gazowe, na dachu baterie słoneczne do podgrzewania zasobnika cieplej wody użytkowej.Podłogi w holu, łazienkach i kuchni ogrzewane są instalacją podłogową. Podjazd do garażu o powierzchni 200 m2 wyłożony kostka granitowa. Serdecznie zapraszam na prezentacjęPH866076",-1,-1,-1,270.6,-1,-1,2001,-1,-1,-1,-1,+48585000156,-1,Sprzedaż,-1,-1,-1,-1,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\PH866076\42735861.jpg,https://www.pepperhouse.pl/wp-content/uploads/2022/05/42735861.jpg
-1,-1,590000,6929,12/05/2022 10:16:02,,-1,-1,-1,zapytanie@pepperhouse.pl,-1,-1,5,13,14,-1,-1,"Reda, None, Bratkowa",-1,Reda,PepperHouse,PH399868,-1,"                                              BRAK PODATKU PCC !                                                                                      PO ODBIORACH ! CHARAKTERYSTYKA: Na sprzedaż nowoczesny dom w zabudowie bliźniaczej o powierzchni użytkowej 85,12 m2 z działką 225 m2. Składa się z 2 kondygnacji plus poddasza 25 m2 do adaptacji. Istnieje możliwość podziału na 2 mieszkania pod wynajem z już przygotowanym osobnym wejściem. Dzięki przemyślanemu projektowi można uzyskać w sumie 2 mieszkania 1 na parterze o powierzchni 41,08 m2 2 pokoje, 2 mieszkanie na 1 piętrze z 3 pokojami plus poddasze dodatkowe pomieszczenie na gabinet lub sypialnię z osobnym wc.  DOM SKŁADA SIE Z: PARTER 41,08 m2– salon z aneksem 24,11m2 z wyjściem na taras i ogród,– wiatrołap 3,5m2,– przedpokój 2.3m2,– łazienka 2.5m2,– spiżarnia 1,4m2,– gabinet ( pokój ) 7,2m2, I PIĘTRO 44,07– sypialnia I – 13,7m2,– sypialnia II – 8,86m2,– sypialnia III – 8,31m2,– łazienka 4,1m2. PODDASZE – 25 m2 z oknem dachowym, łazienką na osi dachu. – dwufunkcyjne piec gazowe firmy Immergas,– instalacja kominka,– 3 szybowe okna PCV,– wysokiej klasy antywłamaniowe drzwi wejściowe,– dach pokryty blachą na rąbek firmy Balex metal,– orynnowanie metalowe firmy Blachy Galeco,– instalacja alarmowa uruchomiona, Budynek posiada podstawowe media: prąd, woda z sieci miejskiej, kanalizacja sanitarna i gaz z sieci miejskiej.4Istnieje możliwość dokupienia drugiej połowy bliźniaka.    ",-1,-1,-1,85.15,-1,-1,2021,-1,-1,-1,-1,+48585000156,-1,Sprzedaż,-1,Bratkowa,-1,-1,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\PH399868\42721746.jpg,https://www.pepperhouse.pl/wp-content/uploads/2022/05/42721746.jpg
-1,-1,1180000,6929,12/05/2022 10:06:21,,-1,-1,-1,zapytanie@pepperhouse.pl,-1,-1,10,17,14,-1,-1,"Reda, None, Bratkowa",-1,Reda,PepperHouse,PH404196,-1,"                                              BRAK PODATKU PCC !                                                                                      PO ODBIORACH ! CHARAKTERYSTYKA: Na sprzedaż nowoczesna nieruchomość w zabudowie bliźniaczej  z możliwością wyodrębnienia 4 osobnych lokali mieszalnych pod wynajem ( zostały wykonane osobne wejścia ). Dom o powierzchni użytkowej. 170,30 m2 z działką 450 m2 składa się z 2 bliźniaków o powierzchni 85,15m2 i stanowi budynek 2 kondygnacji plus poddasza 25 m2 do adaptacji. Dzięki przemyślanemu projektowi można uzyskać w sumie 6 pokoi, lub 5 pokoje i dodatkowe pomieszczenie na gabinet lub sypialnię z osobną łazienka. Idealne pod inwestycję! POŁOWA DOMU SKŁADA SIĘ Z: PARTER 41,08 m2– salon z aneksem 24,11m2 z wyjściem na taras i ogród,– wiatrołap 3,5m2,– przedpokój 2.3m2,– łazienka 2.5m2,– spiżarnia 1,4m2,– gabinet ( pokój ) 7,2m2, I PIĘTRO 44,07 m2– sypialnia I – 13,7m2,– sypialnia II – 8,86m2,– sypialnia III – 8,31m2,– łazienka 4,1m2. PODDASZE – 25 m2 z oknem dachowym, łazienką na osi dachu. – dwufunkcyjne piec gazowe firmy Immergas,– instalacja kominka,– 3 szybowe okna PCV,– wysokiej klasy antywłamaniowe drzwi wejściowe,– dach pokryty blachą na rąbek firmy Balex metal,– orynnowanie metalowe firmy Blachy Galeco,– instalacja alarmowa uruchomiona, Budynek posiada podstawowe media: prąd, woda z sieci miejskiej, kanalizacja sanitarna i gaz z sieci miejskiej.   ",-1,-1,-1,170.3,-1,-1,2021,-1,-1,-1,-1,+48585000156,-1,Sprzedaż,-1,Bratkowa,-1,-1,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\PH404196\42721011.jpg,https://www.pepperhouse.pl/wp-content/uploads/2022/05/42721011.jpg
-1,-1,1180000,6929,12/05/2022 10:01:40,,-1,-1,-1,zapytanie@pepperhouse.pl,-1,-1,10,15,14,-1,-1,"Reda, None, Bratkowa",-1,Reda,PepperHouse,PH335537,-1,"                                              BRAK PODATKU PCC !                                                                                      PO ODBIORACH ! CHARAKTERYSTYKA: Na sprzedaż nowoczesny dom wolnostojący z wyodrębnionymi 2 osobnymi lokalami ( bliźniakami ). Każdy z nich o powierzchni użytkowej 85,12 m2 z działką 225 m2. Składają się z 2 kondygnacji plus poddasza 25 m2 do adaptacji. Dzięki przemyślanemu projektowi można uzyskać w sumie 5 pokoi, lub 4 pokoje i dodatkowe pomieszczenie na gabinet lub sypialnię z osobną łazienka.  POŁOWA DOMU SKŁADA SIĘ Z: PARTER– salon z aneksem 24,11m2 z wyjściem na taras i ogród,– wiatrołap 3,5m2,– przedpokój 2.3m2,– łazienka 2.5m2,– spiżarnia 1,4m2,– gabinet ( pokój ) 7,2m2, I PIĘTRO– sypialnia I – 13,7m2,– sypialnia II – 8,86m2,– sypialnia III – 8,31m2,– łazienka 4,1m2. PODDASZE – 25 m2 z oknem dachowym, łazienką na osi dachu. – dwufunkcyjne piec gazowe firmy Immergas,– instalacja kominka,– 3 szybowe okna PCV,– wysokiej klasy antywłamaniowe drzwi wejściowe,– dach pokryty blachą na rąbek firmy Balex metal,– orynnowanie metalowe firmy Blachy Galeco,– instalacja alarmowa uruchomiona, Budynek posiada podstawowe media: prąd, woda z sieci miejskiej, kanalizacja sanitarna i gaz z sieci miejskiej.   ",-1,-1,-1,170.3,-1,-1,2021,-1,-1,-1,-1,+48585000156,-1,Sprzedaż,-1,Bratkowa,-1,-1,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\PH335537\42720666.jpg,https://www.pepperhouse.pl/wp-content/uploads/2022/05/42720666.jpg
-1,-1,699000,18995,-1,,-1,-1,-1,zapytanie@pepperhouse.pl,-1,-1,1,88,23,-1,-1,"Władysławowo, None, Hryniewieckiego",-1,Władysławowo,PepperHouse,PH860699,-1,"ATUTY NIERUCHOMOŚCI: LOKALIZACJA: Apartament jest położony u nasady Półwyspu Helskiego w historycznej dzielnicy Władysławowa – Hallerowo, zaledwie 50 metrów od przepięknej plaży i wód Bałtyku w obszarze Nadmorskiego Parku Krajobrazowego. Bogate walory przyrodnicze i turystyczne – słońce, szerokie, czyste plaże oraz cudowny morski klimat sprawiają, że mogą Państwo przeżyć niezapomniane chwilę. CHARAKTERYSTYKA: Słoneczny apartament o powierzchni 36,80 m kw. z aneksem kuchennym oraz łazienką wyposażoną w prysznic oraz wannę, od strony południowej znajduje się duży balkon około 9 m kw.Apartament ten znajduje się na trzecim piętrze kompleksu połączonego z Hotelem Maloves.W budynku znajduje się portiernia z 24h ochrona, wejście do apartamentu możliwe jest również przez część hotelową. Jest to idealna nieruchomość pod wynajem krótkoterminowy. Również poza sezonem letnim generuje on przychód dzięki temu iż jest on połączony z Hotelem Maloves i całą jego infrastrukturą. Miesięczny czynsz: 500 zł Dodatkowa możliwość zakupu miejsca postojowego w cenie 50 000 zł Lokal ma status mieszkania dzięki czemu mamy możliwość meldunku oraz znacząco niższe podatki od nieruchomości. Jest możliwość płatności w walucie (Euro). Zapraszam na prezentacjęMichał KarczNumer oferty: PH860699  ",-1,-1,-1,36.8,-1,-1,2007,-1,-1,-1,-1,+48585000156,-1,Sprzedaż,-1,Hryniewieckiego,-1,-1,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\PH860699\42719700.jpg,https://www.pepperhouse.pl/wp-content/uploads/2022/05/42719700.jpg
-1,-1,-1,-1,-1,,-1,-1,-1,zapytanie@pepperhouse.pl,-1,-1,-1,12,1,-1,-1,"None, None, None",-1,-1,PepperHouse,-1,-1,Ta nieruchomość nie posiada opisu.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,+48585000156,-1,Sprzedaż,-1,-1,-1,-1,-1,-1,C:\Users\lukasz.cwiek\PycharmProjects\Python_Gui_BiuraNieruchomosci\zdjecia\None\image-placeholder.jpg,https://www.pepperhouse.pl/wp-content/uploads/2018/06/image-placeholder.jpg
